time,height,Command,TotalDWSQuantity,Metrics,TotalFutureCommitments,TotalGrossFutureCommitments,TotalCommitmentsDueToday,TotalGrossCommitmentsDueToday,TotalBurnsToday,TotalGrossBurnsToday,TotalMonthlyCommitments,TotalGrossMonthlyCommitments,TotalAnnualReward,SaturationPercentAnnual,SaturationPercentMonthly,30dayDWU,90dayDWU,180dayDWU,365dayDWU
1585547955,185412,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,1880.156674816032,719569.5269999999,41354212.8381642,69.39091502,0.05455763,11.5937,13.3548,15.9964,21.4263
1585569335,185465,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,1880.156674816032,719569.5269999999,41354212.8381642,69.39091502,0.05455763,11.5937,13.3548,15.9964,21.4263
1585592168,185517,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,1880.156674816032,719569.5269999999,41354212.8381642,69.39091502,0.05455763,11.5937,13.3548,15.9964,21.4263
1585612490,185568,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,7512.788015840409,825202.6796999999,41354212.8381642,69.39091502,0.21800308,11.5937,13.3548,15.9964,21.4263
1585634898,185622,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,7512.788015840409,825202.6796999999,41354212.8381642,69.39091502,0.21800308,11.5937,13.3548,15.9964,21.4263
1585656613,185673,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0,0,0,0,7512.788015840409,825202.6796999999,41354212.8381642,69.39091502,0.21800308,11.5937,13.3548,15.9964,21.4263
1585678183,185725,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0.2192066244544301,100.1527,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091502,0.21799672,11.5937,13.3548,15.9964,21.4263
1585698779,185776,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0.2192066244544301,100.1527,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091502,0.21799672,11.5937,13.3548,15.9964,21.4263
1585720926,185826,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0.2192066244544301,100.1527,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091502,0.21799672,11.5937,13.3548,15.9964,21.4263
1585742962,185876,dwsquote,229,v1.1,28696066.68793557,84492443.72810014,0.2192066244544301,100.1527,0,0,7512.568809215953,825102.5269999999,41354212.8381642,69.39091502,0.21799672,11.5937,13.3548,15.9964,21.4263
