height,sanctuary_reward,miner_subsidy,time
172023,4392,2470,1580010483
172022,4477,2518,1580009875
172021,4511,2537,1580009132
172020,4528,2547,1580009083
172019,4576,2574,1580008818
172018,4586,2579,1580008501
172017,4592,2583,1580008334
172016,4574,2572,1580008043
172015,4568,2569,1580007737
172014,,2569,1580007220
172013,4565,2567,1580006782
172012,,2548,1580006250
172011,4502,2532,1580005897
172010,4563,2567,1580005415
172009,,2585,1580004863
172008,,2574,1580004592
172007,4536,2551,1580004459
172006,,2539,1580004139
172005,4568,2569,1580003498
172004,4582,2577,1580002749
172003,,2574,1580002675
172002,4582,2577,1580002493
172001,4556,2562,1580002007
172000,4569,2570,1580001588
171999,4577,2574,1580001198
171998,4578,2575,1580000790
171997,4560,2565,1580000229
171996,4566,2568,1580000158
171995,4582,2577,1579999643
171994,4562,2566,1579999007
171993,4506,2534,1579998840
171992,4540,2554,1579998467
171991,,2577,1579997767
171990,,2580,1579997322
171989,,2562,1579997199
171988,,2555,1579996987
171987,,2581,1579996412
171986,,2582,1579995933
171985,,2572,1579995586
171984,,2558,1579995376
171983,,2550,1579995079
171982,,2547,1579994168
171981,,2503,1579993720
171980,,2521,1579993386
171979,,2526,1579992663
171978,4533,2549,1579992257
171977,4539,2553,1579991858
171976,4517,2541,1579991790
171975,4475,2517,1579991281
171974,4454,2505,1579990876
171973,4481,2520,1579990430
171972,4459,2508,1579989691
171971,4429,2491,1579989331
171970,4449,2502,1579989136
171969,,2527,1579988544
171968,,2505,1579988019
171967,4330,2436,1579987923
171966,,2469,1579987441
171965,,2548,1579986825
171964,,2560,1579986463
171963,,2537,1579986330
171962,,2520,1579986220
171961,,2539,1579985841
171960,,2541,1579985114
171959,,2514,1579984631
171958,,2423,1579984538
171957,4449,2502,1579983958
171956,4440,2497,1579983131
171955,,2510,1579982755
171954,4304,2421,1579982422
171953,4382,2465,1579982353
171952,4446,2501,1579981396
171951,4472,2515,1579981155
171950,4457,2507,1579980800
171949,4471,2515,1579980636
171948,4498,2530,1579980288
171947,4549,2558,1579979766
171946,4548,2558,1579979582
171945,,2553,1579979417
171944,,2517,1579978921
171943,4456,2506,1579978649
171942,4540,2553,1579977985
171941,,2572,1579977446
171940,,2577,1579977280
171939,,2565,1579977179
171938,4546,2557,1579976828
